评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5830055972,CroissantsKreuz2013,女,海外,31,128,17,谢谢东方今报一直仗义执言，媒体良心,1,2020-08-26 19:45 
https://weibo.cn//u/5830055972,CroissantsKreuz2013,女,海外,31,128,17,懂了，打人被刑拘，袭胸就不用，厉害了,1,2020-08-26 19:44 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@RebelHeart丶:陌生人你可以说是见义勇为,0,2020-08-26 19:44 
https://weibo.cn//u/3186668844,RebelHeart丶,女,其他,64,50,40,回复@不用审了:那把男朋友换成陌生人呢,0,2020-08-26 19:43 
https://weibo.cn//u/7062766730,只说实话_73861,男,上海,13,288,177,从于欢案，张扣扣案，唐雪案，陕西反杀案，处对象入室被杀案，再到本案，不得不说，正当防卫，与见义勇为被讼棍律师们玩惨了，中国法律的悲哀。,0,2020-08-26 19:42 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@RebelHeart丶:就是故意伤害啊，但是情节轻微，公安可以不予立案、撤案，检察院可以酌定不起诉，法院可以免予以处罚。罚不罚是可以酌定的，但性质是犯罪了，这是法定的，要尊重法律,0,2020-08-26 19:41 
https://weibo.cn//u/3186668844,RebelHeart丶,女,其他,64,50,40,回复@不用审了:不能算见义勇为，那算什么性质？,0,2020-08-26 19:37 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@没火锅活不下去:自己女朋友当然帮啊，但定性不能算见义勇为,0,2020-08-26 19:33 
https://weibo.cn//suwei91,_腿控患者,男,上海,6263,2416,11829,彻查冷水滩公安分局,0,2020-08-26 19:33 
https://weibo.cn//u/5371927933,Irresistible111111,男,其他,11,128,11,回复@是薏米酱:主要送了🐎给它,1,2020-08-26 19:33 
https://weibo.cn//u/7048032736,没火锅活不下去,男,上海,100,127,22,回复@不用审了:？你的意思是男人只能帮不认识的女生见义，但是不能帮自己认识的人勇为，只能看着是吗？,0,2020-08-26 19:30 
https://weibo.cn//u/3186668844,RebelHeart丶,女,其他,64,50,40,回复@不用审了:怎么不算啊，阻止猥亵行为不算是“义”吗？非得是陌生人才算是见义勇为？,0,2020-08-26 19:28 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@永安卿酒酒36195:我靠卖你🐴赚钱，一晚两百，你给拉来客人给你十块,0,2020-08-26 19:25 
https://weibo.cn//u/5553844751,尚风南号,男,其他,261,133,93,回复@不用审了:首先 明确说了 猥亵者逃跑过程中被踹伤 所以不管是不是男女朋友 只要阻止违法者逃跑 就属于依法扭送 是具有见义勇为的性质噢,3,2020-08-26 19:25 
https://weibo.cn//u/6996060710,永安卿酒酒36195,男,其他,3,18,1,那公安是不是有问题呢，他们是否收了钱，以及严重的工作不负责任，包庇犯人的行为呢？这次是被发现了有人帮他，那下次呢，公安这么肆意妄为不收到处罚，那么公安的“犯罪”成本是否太低了？,0,2020-08-26 19:17 
https://weibo.cn//u/6996060710,永安卿酒酒36195,男,其他,3,18,1,回复@不用审了:你收了多少钱 是给谁洗地的，公安还是哪个猥亵男的洗，带我一个我也想赚钱，毕竟能黑着心的机会不多,1,2020-08-26 19:17 
https://weibo.cn//u/6365743353,想瘦的吃货啊-,女,北京,4634,400,582,一万块钱还给别人,2,2020-08-26 19:17 
https://weibo.cn//u/7226696239,五十弦弦弦弦弦,女,北京,56,15,3,特来表扬 媒体一定要秉笔直书 群众的眼睛是雪亮的,0,2020-08-26 19:05 
https://weibo.cn//u/6241756634,月下神明丶,女,其他,5,17,5,再也不会有人见义勇为了,1,2020-08-26 19:04 
https://weibo.cn//u/2257529587,刀哥jvguo,男,山东,1202,8,107,蛇鼠一窝,0,2020-08-26 19:00 
https://weibo.cn//u/3177526173,不用审了,男,北京,0,196,34,回复@桑海桑田一只李子:你脑子够用吗？男朋友给女朋友出气算见义勇为吗？怎么跟男女朋友没关系？,0,2020-08-26 19:00 
https://weibo.cn//u/7379755146,我怎么知道08256,男,其他,4,7,1,回复@你的背包lonely:查监控了，之前还摸了另一个，但另一个没报警,0,2020-08-26 18:56 
https://weibo.cn//u/3807270295,要存钱要瘦呀,女,湖南,4751,280,254,回复@北川光明:还都是高中生啦，参加高考的,0,2020-08-26 18:52 
https://weibo.cn//u/5761344493,卷卷11-4,男,河北,27,140,65,希望能有一个专门的司法解释。给大众一个最真实的还原,2,2020-08-26 18:35 
https://weibo.cn//u/6607899467,小米恋秋,女,西藏,1335,125,109,唉～实在不知道说啥了～,0,2020-08-26 18:29 
https://weibo.cn//u/6150134686,能不能有猫,女,江西,0,182,15,一边交着税，还得一边帮拿我税钱的人干活，真的是，工钱哪领？不能白干活啊,3,2020-08-26 18:26 
https://weibo.cn//u/7412598607,淮北为安,男,重庆,28,139,1,回复@lzyhd623:参与此次案件处理者，一律革职处理,1,2020-08-26 18:24 
https://weibo.cn//tarquinia,Tarquinia,女,四川,2011,446,352,寒心,0,2020-08-26 18:23 
https://weibo.cn//u/1641417557,ZBrush爱好者,女,北京,198,870,1633,这种警察局是黑恶势力的保护伞吧？做事都不分青红皂白的，对一个孩子毫不手软，对恶人却任其逍遥法外，肆无忌惮，欲取欲求。,13,2020-08-26 18:21 
https://weibo.cn//u/5941839602,潇洒菖蒲689,女,四川,602,121,81,有一次我车站外面准备进站乘车，有一个变态骑个电动车冲我说一堆恶心的话，说完就跑，当时气坏我了，好希望当时手里有个什么称手的东西把他打下来。虽然我后来报警了，派出所根本找不到人，不了了之。这么多年，我还是想把那个变态打一顿。,2,2020-08-26 18:16 
https://weibo.cn//u/5294454399,桑海桑田一只李子,女,其他,1287,334,148,回复@不用审了:你这话可真能带！这件事和是不是她男朋友没有任何关系。这个男的猥亵女生说犯罪！这才是重点。,12,2020-08-26 18:12 
https://weibo.cn//u/2652823612,风月花雪2018,女,上海,89,111,29,突然感觉九品芝麻官拍的真好,3,2020-08-26 18:10 
https://weibo.cn//u/6449432286,哈鲁how,男,其他,7,99,9,局长应该给处分,0,2020-08-26 18:09 
https://weibo.cn//u/5677179791,阿泠不吃辣,女,北京,2,52,27,就是靠舆论才翻案 那其他不被群众看到的勇敢者呢?没人帮他们翻案吗?请不要让善良的人寒心了 当代社会的悲哀 法律也成了卑鄙者的保护膜,1,2020-08-26 18:08 
https://weibo.cn//u/6183315423,你的背包lonely,男,其他,10,51,45,确定是猥亵？手臂碰一下就被打了？？？,1,2020-08-26 18:08 
