评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5972349620,脑洞君_封印解除,男,其他,178,66,5,回复@哟_好久不见:半灌水没有你还指点起别人了，犯罪嫌疑人的逃跑行为属于犯罪过程的延续，公民为阻止犯罪嫌疑人逃跑对犯罪嫌疑人造成的损伤不应当被算为故意伤害罪。顺便告诉你，少年已经被撤销刑拘了,0,2020-08-26 15:34 
https://weibo.cn//u/2023400483,君君lilac,女,海外,25,77,37,回复@茉莉花味香胰子:现在的结果是人民日报发布的，“已责令冷水滩分局撤销案件，立即解除对胡某某的刑事拘留”，这是一个预料之中的结果，一旦舆论形成鼎沸之态，相关部门才会被逼表态被逼重新审理给出结果，为什么我们的公检法总是要靠舆论压力来审理案子？这样的例子多了对于公信力没有伤害吗？百姓不被带节奏也很难吧？,0,2020-08-26 15:25 
https://weibo.cn//u/1932618082,道szguosh63,男,广东,97,83,188,不算见义勇为也不应该刑拘。故意伤害罪么？作案动机是什么？,1,2020-08-26 15:17 
https://weibo.cn//u/6130236596,请回答枇杷树,女,其他,273,220,20,回复@嘉尔的冰淇淋:自古正不压邪,0,2020-08-26 15:05 
https://weibo.cn//u/2564014835,沅珒,男,海外,866,8090,627,支持警方，没毛病,0,2020-08-26 14:57 
https://weibo.cn//u/1187273557,minicm,女,上海,4211,2405,831,回复@莫耶coda:打脸了没，事情经过都没了解清楚就来做理中客。,0,2020-08-26 14:55 
https://weibo.cn//u/1187273557,minicm,女,上海,4211,2405,831,回复@东方今报:本来就是当地警方乱作为。我国最该普法的群体是基层一线的执法者，尤其是一些小地方的警察估计法律常识还不如一个普通公民，遇事不是和稀泥就是机械性执法。这些乱作为的案子只有舆情发酵才能扭转，可是大部分的案子都上不了热搜。,1,2020-08-26 14:49 
https://weibo.cn//u/6357752376,肥宅摸鱼柴,男,其他,1220,187,639,我TM真是搞不懂了,0,2020-08-26 14:43 
https://weibo.cn//u/6246580779,羊文三头铁,女,海外,72,56,198,脑子有点问题吧 这样以后谁来见义勇为,1,2020-08-26 14:28 
https://weibo.cn//u/6064419701,兮瑾81463,女,其他,66,118,3,强奸的时候阻止就算见义勇为了吗,0,2020-08-26 14:05 
https://weibo.cn//u/5243972695,我看你很欧科,女,北京,966,517,240,回复@Jiangpy爸爸:诶，北大高材生，看新闻了么？现在北大好考么？,0,2020-08-26 13:54 
https://weibo.cn//u/2442316532,The_24th_heaven,男,福建,677,263,312,回复@兔爷打滚:同意。,0,2020-08-26 13:38 
https://weibo.cn//u/3833905544,是雪不是学啊喂,女,湖北,1157,97,248,狗官,0,2020-08-26 13:25 
https://weibo.cn//u/5582467942,玛丽轰啊,女,北京,652,235,49,回复@凌云彩虹:唉，是这样,0,2020-08-26 13:16 
https://weibo.cn//u/3020069283,扣扣睡醒了,女,广东,287,250,148,回复@东方今报:,0,2020-08-26 13:08 
https://weibo.cn//u/5649677152,齐佳同学,女,江苏,35,39,10,真让人心寒，猥亵行为之所以那么泛滥就是因为犯罪成本低且处罚力度不够，不打的疼了怎么会记得住教训？,0,2020-08-26 13:04 
https://weibo.cn//u/6314337958,arcsin小桔,女,四川,290,321,137,回复@绿蚁红ni:害，这是猥亵的人跑了，是男友追出去踢伤的（好像是叫不法侵害已经停止了，所以不构成正当防卫？？日常感慨法律知识储备浅薄），为什么不属于见义勇为啊，索赔的20万不会成立吧,0,2020-08-26 13:01 
https://weibo.cn//u/2125005071,只想活得自私点,女,广东,3206,125,100,我以后是不会做什么见义勇为的事了。没钱没权，不想吃力不讨好，惹得一身腥。,0,2020-08-26 12:44 
https://weibo.cn//u/7383607160,两只小dogg,女,山东,159,23,6,胡某不用负法律责任是吗？？？,0,2020-08-26 12:44 
https://weibo.cn//u/1808868367,兔爷打滚,男,江苏,17,21,20,回复@阿紫_RY:先搞清楚什么叫故意，故意主观上是以伤害对方为目的，而这个男孩主观上是以协助扭送猥亵嫌犯为目的，根本就不是故意伤害的目的，而且客观上也只造成轻伤，过失轻伤怎么可能是坐牢？,1,2020-08-26 12:43 
https://weibo.cn//u/5764060095,諼草-,女,广西,689,259,382,什么讲故意伤害罪？就是老流氓猥亵女孩子，人家拿男孩子帮你们警察抓流氓。这样就挨刑拘？公义何在？,0,2020-08-26 12:40 
https://weibo.cn//u/6749814288,-赤橙黄绿蓝靛紫-,男,其他,78,498,83,不是你撞的，为什么要扶呢，不是猥亵你，你为什么要反抗呢,0,2020-08-26 12:38 
https://weibo.cn//u/1808868367,兔爷打滚,男,江苏,17,21,20,回复@The_24th_heaven:看别人行为要主客观相统一看，那个男生踢的时候，在主观是要阻止猥亵者逃跑的扭送行为而不是要伤害对方，客观上造成了轻伤，过失轻伤，最多只需要民事赔偿即可。,0,2020-08-26 12:35 
https://weibo.cn//u/5347577564,一曲折扇情_,男,北京,113,114,61,回复@千江有水千江月oc:看法治🉐意见  案件送审以后  法治说了算  法治决定呗  但是得按照法律法规来,0,2020-08-26 12:32 
https://weibo.cn//u/1808868367,兔爷打滚,男,江苏,17,21,20,回复@AfricanCats:普通民众在那个当下能区分违法行为和犯罪行为吗？不算见义勇为也是一种扭送，大不了算过失。过失轻伤顶多民事赔偿。,0,2020-08-26 12:23 
https://weibo.cn//u/3898440406,yye无心睡眠,男,上海,1823,983,473,这不就是韩剧机智的监狱生活吗,0,2020-08-26 12:18 
https://weibo.cn//u/5337293185,种花家De小狮子,女,四川,136,105,101,回复@starbaby-June:唉，我们家也被偷了几次，有2次是半夜，有一次是白天弟弟生病了家里没人，本来就穷，干干净净的给我们把粮食、鸡鸭偷了，就这样都改变了我们一家的生活状态，更别说十多年了。所以国家对于偷盗这块的律法真的太不公道了。,0,2020-08-26 12:18 
https://weibo.cn//u/5337293185,种花家De小狮子,女,四川,136,105,101,回复@饣反木甬i:不是打的，就是从高坎上摔下入沟底，20多年前农村漆黑的，反正就追赶嘛。,0,2020-08-26 12:13 
https://weibo.cn//u/1640131722,童妈js,女,江苏,333,266,255,回复@东桃花源:钓鱼🎣有意思吗,0,2020-08-26 12:02 
https://weibo.cn//u/6657449691,白日梦研究专家·葭月黄桃,女,其他,1469,497,30,回复@吃掉小葡萄:气死我了 这都是什么狗屁法律,0,2020-08-26 12:01 
https://weibo.cn//u/5743755076,Super慢5743755076,男,山东,100,54,144,回复@东方今报:依法治国,0,2020-08-26 12:00 
https://weibo.cn//u/5800255840,马刺and勒布朗,男,海南,2,18,74,有些警察的素质能力堪忧！！,0,2020-08-26 11:52 
https://weibo.cn//u/7343721670,大虾肉多,男,其他,41,49,1,回复@蜂蜜水咕噜噜噜噜:能上热搜的需要考虑很多,0,2020-08-26 11:51 
https://weibo.cn//u/5215167500,一只吃瓜的柠檬精,女,其他,2071,444,344,那小胡要是眼瞅着猥亵犯在眼前逃跑而不阻拦，或者只是很随意的表面敷衍阻拦一下。是不是可以认为小胡在包庇在帮助猥亵男逃脱法律的制裁阿？那小胡是不是可以被认为是接应是同伙阿？小胡好难哦,0,2020-08-26 11:49 
https://weibo.cn//u/6597348399,九隅斌客,女,北京,94,369,65,回复@爱学法律的博:罗翔老师刚刚发了视频，你要不要去看下？,0,2020-08-26 11:39 
